ID,T_HANDLE,T_NAME,CATEGORY,OPENNESS,ADVENTUROUSNESS,ARTISTIC_INTERESTS,EMOTIONALITY,IMAGINATION,INTELLECT,AUTHORITY_CHALLENGING,CONSCIENTIOUSNESS,ACHIEVEMENT_STRIVING,CAUTIOUSNESS,DUTIFULNESS,ORDERLINESS,SELF_DISCIPLINE,SELF_EFFICACY,EXTRAVERSION,ACTIVITY_LEVEL,ASSERTIVENESS,CHEERFULNESS,EXCITEMENT_SEEKING,OUTGOING,GREGARIOUSNESS,AGREEABLENESS,ALTRUISM,COOPERATION,MODESTY,UNCOMPROMISING,SYMPATHY,TRUST,EMOTIONAL_RANGE,FIERY,PRONE_TO_WORRY,MELANCHOLY,IMMODERATION,SELF_CONSCIOUSNESS,SUSCEPTIBLE_TO_STRESS,CHALLENGE,CLOSENESS,CURIOSITY,EXCITEMENT,HARMONY,IDEAL,LIBERTY,LOVE,PRACTICALITY,SELF_EXPRESSION,STABILITY,STRUCTURE,CONSERVATION,OPENNESS_TO_CHANGE,HEDONISM,SELF_ENHANCEMENT,SELF_TRANSCENDENCE,CATEGORY
47,TheVijayMallya,Vijay Mallya,Business,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,MEDIUM,LOW,HIGH,MEDIUM,LOW,LOW,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,Business
48,_sachinbansal,Sachin Bansal,Business,MEDIUM,MEDIUM,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,MEDIUM,LOW,HIGH,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,LOW,LOW,LOW,HIGH,LOW,MEDIUM,MEDIUM,HIGH,LOW,LOW,LOW,LOW,HIGH,LOW,HIGH,MEDIUM,Business
49,LalitKModi,Lalit Kumar Modi,Business,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Business
6,SrBachchan,Amitabh Bachachan,Actor,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,HIGH,Actor
12,iamsrk,Sharukh Khan,Actor,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,Actor
13,priyankachopra,Priyanka Chopra,Actor,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,Actor
14,sonamakapoor,Sonam Kapoor,Actor,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,LOW,LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,LOW,LOW,Actor
15,juniorbachchan,Abhishek Bachchan,Actor,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,Actor
16,MadhuriDixit,Madhuri Dixit,Actor,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,MEDIUM,HIGH,HIGH,LOW,Actor
17,sonakshisinha,Sonakshi Sinha,Actor,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,LOW,MEDIUM,Actor
37,RanaDaggubati,Rana Daggubati,Actor,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,LOW,Actor
38,Actor_Siddharth,Siddharth,Actor,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,LOW,Actor
